V_fL,S_site_nM,Nc_molecules,C_total_nM,M_loci,site_copies,total_site_nM,ratio_copies_per_cas9,d_on_max_pp,d_on_final_pp,t10_delay_pct,t50_delay_pct,t90_delay_pct,depletion_max_pct,dur_gt5pct_depl_s,t50_A_s,t50_B_s,on_B_final,on_A_final
250,0.013284312537390774,10,0.06642156268695386,10,20,0.13284312537390774,2.0,0.10964295989955852,0.0,0.11916889514502166,0.0797206854137408,-0.34350327956751076,0.12197276364053211,0.0,131444.0696160911,131548.85772932475,1.0,1.0
250,0.013284312537390774,10,0.06642156268695386,30,60,0.39852937612172323,6.0,0.09117231980123042,0.0,0.3037730266840914,0.2740372354232606,-0.17392094644968073,0.3081002118083265,0.0,131444.0696160911,131804.27531059485,1.0,1.0
250,0.013284312537390774,10,0.06642156268695386,100,200,1.3284312537390774,20.0,0.441137429645011,0.0,1.2758810289686753,1.297397316613263,0.7060545758516998,1.2877000376017134,0.0,131444.0696160911,133149.42144813752,1.0,1.0
250,0.013284312537390774,10,0.06642156268695386,300,600,3.9852937612172323,60.0,1.4135156848201547,0.0,3.9970367497510937,4.07894824236324,3.0401253021469383,3.8865874927557664,0.0,131444.0696160911,136805.60518338735,1.0,1.0
250,0.013284312537390774,10,0.06642156268695386,1000,2000,13.284312537390774,200.0,4.479151369815371,0.0,13.111378388264615,13.035551649988456,12.510456990994584,11.695036191969098,31622714.393350407,131444.0696160911,148578.52920174343,1.0,1.0
250,0.013284312537390774,10,0.06642156268695386,3000,6000,39.85293761217232,600.0,11.810864304517409,0.0,38.148815476659784,37.99483552982904,37.31855637521423,27.800771759042153,31622759.42160952,131444.0696160911,181386.02768043888,1.0,1.0
250,0.013284312537390774,10,0.06642156268695386,10000,20000,132.84312537390772,2000.0,29.207738792351773,0.0,126.433998874448,126.41161529066673,122.84507344345748,55.99161214442523,31622771.857063003,131444.0696160911,297604.6412215803,1.0,1.0
250,0.013284312537390774,10,0.06642156268695386,30000,60000,398.5293761217232,6000.0,52.57845944282641,0.0,383.95145765115876,382.6677913560348,375.51037969401773,79.3970714385268,31622775.026939977,131444.0696160911,634438.1876844757,1.0,1.0
250,0.013284312537390774,30,0.19926468806086162,10,20,0.13284312537390774,0.6666666666666666,0.10981435745165413,0.0,0.11663079312975973,0.07886673632201877,-0.3408696975692164,0.12169769595165025,0.0,43827.260963129054,43861.82609347001,1.0,1.0
250,0.013284312537390774,30,0.19926468806086162,30,60,0.39852937612172323,2.0,0.09086227956214277,0.0,0.29933123304929193,0.27202689892468773,-0.17301763447697796,0.30759624310450207,0.0,43827.260963129054,43946.482902010684,1.0,1.0
250,0.013284312537390774,30,0.19926468806086162,100,200,1.3284312537390774,6.666666666666667,0.4382403140984592,0.0,1.2428493626201018,1.2838951337457705,0.6952902961604758,1.2827257171532436,0.0,43827.260963129054,44389.95703388873,1.0,1.0
250,0.013284312537390774,30,0.19926468806086162,300,600,3.9852937612172323,20.0,1.4053372399099873,0.0,3.887914171715735,4.037000948192944,3.000881794712412,3.8716570906705106,0.0,43827.260963129054,45596.56790377757,1.0,1.0
250,0.013284312537390774,30,0.19926468806086162,1000,2000,13.284312537390774,66.66666666666667,4.455429521018783,0.0,12.774786055386441,12.917654012898344,12.534461081510193,11.6544328235342,31622714.393350407,43827.260963129054,49488.714897676124,1.0,1.0
250,0.013284312537390774,30,0.19926468806086162,3000,6000,39.85293761217232,200.0,11.768394642895952,0.0,37.35747326676428,37.763193600201106,37.27632392156179,27.742402195195982,31622759.42160952,43827.260963129054,60377.83437030084,1.0,1.0
250,0.013284312537390774,30,0.19926468806086162,10000,20000,132.84312537390772,666.6666666666666,29.144480070860624,0.0,124.78538853300203,125.97654057284468,122.86215414429242,55.9477044613542,31622771.857063003,43827.260963129054,99039.32815231185,1.0,1.0
