panel,M,C,ablation,n_removed,M_eff,d_on_max_pp,d_on_final_pp,timing_pct,depletion_pct
DEFENSIBLE,10000,0.1,baseline,0,10000,17.146406690213013,-0.5682389791600295,58.75481562088055,37.7560005397114
DEFENSIBLE,10000,0.1,drop_near_perfect_le1mm,110,9890,17.116964987301063,-0.5674879703480351,58.61829670459267,37.685851001195836
DEFENSIBLE,10000,0.1,drop_1_2mm,200,9800,16.916773758976056,-0.5583493230836845,57.71611647975063,37.2720295411755
DEFENSIBLE,10000,0.1,drop_pam_distal_only,573,9427,13.72045884766373,-0.3326688122573418,44.779964487700816,31.36692200563823
DEFENSIBLE,10000,0.1,drop_top1pct_sink,100,9900,16.189204479119645,-0.48690419941811447,54.636515237114544,36.06905193807476
DEFENSIBLE,10000,0.1,drop_top5pct_sink,500,9500,13.306931854108795,-0.29542869702056107,43.33109018294532,30.767585331292302
DEFENSIBLE,10000,0.1,drop_top10pct_sink,1000,9000,11.886400773677197,-0.23042822502173932,38.04072549910137,27.95741179273792
DEFENSIBLE,10000,0.1,drop_random10pct_CTRL,999,9001,15.716912121278725,-0.451040212185716,52.60597259757799,35.21989001814342
DEFENSIBLE,1000,0.1,baseline,0,1000,2.1942952642366564,-0.002093417039916723,6.0202808820472065,5.938057162050536
DEFENSIBLE,1000,0.1,drop_near_perfect_le1mm,13,987,2.1869968107842253,-0.0020812085041232997,5.997711498094719,5.910562982447976
DEFENSIBLE,1000,0.1,drop_1_2mm,20,980,2.134374794353955,-0.001762117692394316,5.849648258458102,5.761536329627825
DEFENSIBLE,1000,0.1,drop_pam_distal_only,61,939,1.6556349911497459,0.001871222196847544,4.535319066748125,4.484637513085699
DEFENSIBLE,1000,0.1,drop_top1pct_sink,10,990,2.0419212620729654,-0.0007936911964545601,5.604562500679407,5.545013555016631
DEFENSIBLE,1000,0.1,drop_top5pct_sink,50,950,1.6149524345108524,0.002569205333091684,4.44067590776355,4.431632307898237
DEFENSIBLE,1000,0.1,drop_top10pct_sink,100,900,1.3847599955980394,0.004276422326165985,3.814077329402093,3.825694853429984
DEFENSIBLE,1000,0.1,drop_random10pct_CTRL,99,901,1.994385339129645,-0.00041500842510311386,5.472116780774102,5.4171276835273785
CONTROLLED_STRESS,10000,0.1,baseline,0,10000,13.963531409164354,-0.21981677886946382,46.49176697439123,33.50786565101337
CONTROLLED_STRESS,10000,0.1,drop_near_perfect_le1mm,5012,4988,11.597520646466341,-0.16863326300339265,37.29048792140188,28.147485776833946
CONTROLLED_STRESS,10000,0.1,drop_1_2mm,7999,2001,3.3130467541744535,-0.014186986359365772,9.272986728606398,8.68956091929669
CONTROLLED_STRESS,10000,0.1,drop_pam_distal_only,4022,5978,7.918756344159473,-0.07866701285788036,23.982716578958932,20.02676119508211
CONTROLLED_STRESS,10000,0.1,drop_top1pct_sink,100,9900,12.986687812186426,-0.17440223433884405,42.75319342082622,31.7068105449711
CONTROLLED_STRESS,10000,0.1,drop_top5pct_sink,500,9500,10.073358242174113,-0.08760118539775652,31.872003501507486,26.03257137869155
CONTROLLED_STRESS,10000,0.1,drop_top10pct_sink,1000,9000,8.71215436090209,-0.064423091547261,26.9075652721307,23.117687178341882
CONTROLLED_STRESS,10000,0.1,drop_random10pct_CTRL,999,9001,12.797432079882764,-0.17807683773238825,41.993595749560754,31.1858792132368
